제목,기관,키워드,본문
"10월 풍성한 이벤트 준비 더벤티, 미니게임천국 콜라보 프리퀀시 등 진행","티프레시,APP,컴투스","10월,더벤티,이벤트,준비,프리퀀시,미니,게임,천국,콜라보,진행,19일,3주,미니게임천국,캐주얼,게임,미니,게임,천국,콜라보,프리퀀시,20일,하루,더벤티데이,멤버십,프로모션,더벤티,커피,프랜차이즈,19일,프리퀀시,미니,게임,천국,콜라보,더벤티데이,혜택,프로모션,멤버십,진행,더벤티,19일,3주,회원,더벤티,멤버십,대상,컴투스,캐주얼,게임,미니,게임,천국,콜라보,프리퀀시,진행,프리퀀시,행사,더벤티,체리소,겨울,홀리데이,그린윈터,티프레시,리치시나몬,딥라떼,2잔,2잔,자유,음료,4잔,음료,구매,스탬프,구매,적립,프리퀀시,완성,미니,게임,천국,인게임,아이템,더벤티,코스튬,더벤티,스킨,더벤티,프리퀀시,완성자,대상,추첨,굿즈,미니,게임,천국,스페셜,집토끼,인형,1종,미니,게임,천국,콜드컵,25명,50명,제공,예정,더벤티,20일,하루,멤버십,회원,대상,특별,할인,혜택,제공,더벤티데이,진행,더벤티데이,쿠폰팩,픽업,주문,메뉴,할인,쿠폰,토마토,모양,크림치즈,풍미,매력적,토마토빵,1천,할인,쿠폰,1천,겨울,시즌,음료,할인,쿠폰,구성,멤버십,프로모션,가입자,당일,신규,포함,회원,대상,더벤티데이,쿠폰팩,화면,더벤티,브랜드,APP,메인,쿠폰,다운로드,홈페이지,더벤티,브랜드,확인,가능","커피 프랜차이즈 더벤티가 19일부터 미니게임천국 콜라보 프리퀀시 및 더벤티데이로 풍성한 혜택의 10월 멤버십 프로모션을 진행한다. 
 
 더벤티는 19일부터 오는 11월 8일까지, 3주간 더벤티 멤버십 회원을 대상으로 컴투스 캐주얼 게임 미니게임천국 콜라보 프리퀀시를 진행한다. 
 
 프리퀀시 행사는 더벤티의 겨울 신메뉴 3종 홀리데이 체리소다, 그린윈.."
공연 전시 함께 즐기는 청년주도형 예술축제 2023 남구청년예술제 '해야청청',"계명대,경일대,중앙대,대덕문화전당,남구 청년예술제,남구청년예술제,해야청청,대학","공연,전시,청년,주도,예술,축제,남구청년,예술제,해야청청,전야제,14~16일,대덕문화전당,대덕문화전당,청년예술제,남구,청년,예술제,해야청청,전야제,시작,16일,대덕문화전당,개최,남구,청년,예술제,예술인,콜라보,청년,예술인,예술,활동,지원,2021년,시작,목적,그동안,대중음악,무용,국악,서양음악,낭독극,음악연주,콜라보,남구청년예술제,슬로건,해야청청,제목,개최,대학,전국,경일대,계명대,중앙대,청년,작가,그룹전,공연,전시,공연,6팀,국악,현대무용,기악,콜라보,권윤형x,민속악회,바디,스트릿,댄스,넌버벌,퍼포먼스,스낵댄스,뮤지컬,배우,락밴드,밴드극,그라비티,소리,가곡,콜라보,음악,집단,소옥,퓨전밴드,댄서,조합,엠오케스트락,일렉트릭밴드,소리꾼,일렉트릭밴드,만남,이기욱,일렉트릭,밴드,소리,김수경,메인,공연,종료,야외,공연장,파티,부대,행사,네트워킹,수상팀,밴드,영남,소리,집단,오방색,김형동,프로젝트,3팀,축하,공연,예정,관람,무료","대덕문화전당이 2023 남구 청년예술제, '함께 푸르다. 해야청청'을 13일 전야제를 시작으로 16일까지 대덕문화전당에서 개최한다. 
 
 '남구 청년예술제'는 예술인(팀)간의 콜라보를 통해 청년 예술인의 예술 활동을 적극적으로 지원하기 위해 지난 2021년 처음 시작했다. 목적에 걸맞게 그동안 대중음악, 무용, 국악, 서양음악, 낭독극, 음악연주 등 .."
"삼성전자, '더 프레임 디즈니 100주년 에디션' 출시 맞아 삼성 강남에서 '디즈니 콜라보 전시' 오픈","디즈니,삼성닷컴,삼성전자,세리프,삼성","삼성전자,프레임,디즈니,주년,에디션,출시,삼성,강남,전시,디즈니,콜라보,오픈,삼성전자,라이프,스타일,TV,프레임,Frame,에디션,디즈니,주년,공식,출시,2층,삼성,강남,전시,디즈니,콜라보,운영,17일,운영,전시,디즈니,콜라보,프레임,디즈니,주년,에디션,디즈니,콜라보,모바일,액세서리,디즈니,주년,기념,에디션,삼성,디즈니100,온스크린,로고,적용,디즈니,로고,세련,플래,티넘,실버,메탈,베젤,탑재,디즈니,인기,캐릭터,미키,마우스,리모트,디즈니,주년,에디션,솔라셀,차별,포인트,가치,스토어,프레임,예술,작품,구독,서비스,아트,월트,디즈니,Walt,Disney,픽사,애니메이션,Pixar,Animation,마블,MARVEL,내셔널지오그래픽,National,Geographic,아트,컬렉션,이미지,스페셜,에디션,감상,전시,삼성,강남,디즈니,콜라보,디즈니,협업,갤럭시,카드,플립,수트,케이스,갤럭시,갤럭시,워치,시리즈,스트랩,콜라보,액세서리,제품,디즈니,자체,전시,공간,마련,삼성전자,삼성닷컴,갤럭시,캠퍼스,디즈니,콜라보,모바일,액세서리,구매,삼성,강남,제품,픽업,고객,대상,커피,쿠폰,증정,이벤트,진행,프레임,디즈니,주년,에디션,1일,삼성닷컴,판매,시작,1일,7시,삼성닷컴,라이브,커머스로,공식,출시,구매,혜택,준비,닷컴,프레임,디즈니,주년,에디션,구매,고객,디즈니,주년,피크닉,스테인리스,모바일,상품권,제공,세리프,기준가,할인,최대,추가,가격,구매,할인,쿠폰,증정,사전,신청,구매,고객,대상,디즈니,캐릭터,활용,디퓨저,추가,제공,삼성전자,관계자,프레임,디즈니,주년,에디션,출시,오픈,전시,삼성,강남,디즈니,콜라보,프레임,디즈니,주년,에디션,디자인,콘텐츠,콘텐츠,경험,기회,브랜드,협업,강화,예정,삼성닷컴,홈페이지,확인","삼성전자가 9월 1일 라이프스타일 TV '더 프레임(The Frame) 디즈니 100주년 에디션' 공식 출시를 맞아 삼성 강남 2층에서 '디즈니 콜라보 전시'를 운영한다. 
 
 17일까지 운영하는 '디즈니 콜라보 전시'에서는 '더 프레임 디즈니 100주년 에디션'과 다양한 디즈니 콜라보 모바일 액세서리를 함께 만나볼 수 있다. 
 
 디즈니 100주년.."
"라이프스타일 브랜드 쿼시, 카멜커피와 콜라보 제품 선보여","라이프스,카멜커피","쿼시,라이프,스타일,브랜드,카멜커피,콜라보,제품,개인&amp,공간,위생,브랜드,쿼시,커피,브랜드,카멜,커피,콜라보,제품,출시,출시,콜라보,제품,롤티슈,쿼시,세정,카멜커피,시그니처,컬러,감각적,일러스트,롤티슈,쿼시,카멜커피,세정,디자인,취향,선택,주방,거실,인테리어,방해,사용,특장점,쿼시,관계자,카멜커피,출시,콜라보,제품,특별,재미,브랜드,가치,제품,한정판매,홈페이지,쿼시,공식,구매,가능,세트구성,카멜,커피,매장,확인","개인&공간 위생을 위한 브랜드 쿼시가 국내 커피 브랜드 카멜커피와의 콜라보 제품을 출시한다. 오는 29일 출시를 앞두고 있는 콜라보 제품은 쿼시 세정 롤티슈에 카멜커피의 시그니처 컬러와 감각적인 일러스트를 더했다. 또한 “쿼시X카멜커피 세정 롤티슈”는 총 2가지 디자인으로 취향에 맞게 선택할 수 있으며, 주방, 거실 등 어디에 두어도 인테리어에 .."
'콜라보 맛집' SPC 배스킨라빈스 파트너사와 동반성장,"배스킨라빈스,SPC,파트너사,MZ","콜라보,맛집,파트너사,SPC,배스킨라빈스,동반성장,식품,업계,경험,추구,자신,감성,MZ세대,이색,브랜드,경계,컬래버레이션,진행,배스킨라빈스,식음료,캐릭터,IP,디지털,플랫폼,분야,협업,대표적,콜라보,맛집,유명,MZ,세대,사이,브랜드,팬덤,공략,확대,소비자,접점,강화,브랜드,경쟁력,콜라보,맛집,닉값,배스킨라빈스,브랜드,협업,축적,노하우,콘텐츠,마케팅,전략,영업망,자사,활용,브랜드,성장,상생,협력,모델,구축,업계,평가,배스킨라빈스,인기,브랜드,협업,사이,세대,소비자,트렌디,브랜드,이미지,강화,핫플레이스,판매,디저트,배스킨라빈스,노하우,접목,신제품,한편,전국,매장,배스킨라빈스,차별화,브랜드,경험,선사,파트너사,배스킨라빈스,전국적,유통망,지역,소비자들,단독,진행,각종,프로모션,광고,영상,콘텐츠,활용,대중,기회,제공,배스킨라빈스,사례,상생,협력,프리미엄,디저트,카페,노티드,Knotted,전문점,스페셜티,커피,전문점","최근 식품 업계는 새로운 경험을 추구하고 자신만의 감성을 나타내길 원하는 MZ세대를 사로잡기 위해 이색 브랜드와 경계를 뛰어넘는 컬래버레이션을 진행하고 있다. 


 


배스킨라빈스는 식음료, 캐릭터 IP, 디지털 플랫폼 등 다양한 분야와 협업하는 대표적인 '콜라보 맛집'으로 유명하다. 올해는 MZ세대 사이에서 힙하게 떠오르는 국내 브랜드와 손잡고 다.."
"베베숲 아기세제, 침구 브랜드 ‘누비지오’와 콜라보 진행","X누비지오 콜라보 이벤트,EWG,누비지오","베베숲,아기,세제,누비지오,침구,브랜드,콜라보,진행,물티슈,베베숲,연속,물티슈,판매,베베,누비지오,침구,브랜드,25일,29일,이벤트,특별,콜라보,진행,콜라,품절,대란,베베숲,패브릭,케어세트,누비지오,미피,알러지,케어,침구세트,이벤트,한정,수량,50%,할인,진행,누비지오,홈페이지,구매,가능,가을,환절기,침구,교체,수요,증가,시즌,주목,육아,필수템,콜라보,이벤트,창립,주년,누비지오,기획,단계,생산,자체,생산,철저,공정,시즌,특별,제품,알러지,케어,소재,피부,아이들,걱정,사용,콜라보,캐릭터,베스트,상품,세트,미피,알러지,케어,침구,준비,할인,이벤트,베베숲,인스타그램,이벤트,베베숲,누비지오,콜라보,추가,진행,누비지오,주년,기획세트,판매,소식,베베숲,누비지오,콜라보,이벤트,축하,댓글,추첨,미피,알러지,차렵이불,베베숲,세탁세제,베베숲,세탁,세제,유연제,3명,베베숲,베베숲,주방,세제,10명,경품,증정,베베숲,베베숲,아기,세탁,세제,잔여물,걱정,세탁,제품,향료,제외,성분,EWG,EWG,GREEN,등급,안심,성분,사용,성분,생활,오염원,세척,탈취력,테스트,햇볕,건조,실내,세제,자리매김,베이비페어,베이비페어,반응,대란,연일,품절,베베숲,관계자,누비지오,기회,고객들,이벤트,이벤트,분들,베베숲,누비지오,경품,특별,혜택,준비,부탁,정진","7년 연속 물티슈 국내 판매 1위 베베숲이 침구 브랜드 ‘누비지오’와 함께 25일부터 29일까지 특별 콜라보 이벤트를 진행한다고 밝혔다. 
 
이번 콜라보는 품절 대란을 일으켰던 베베숲 홈의 ‘패브릭 케어세트’와 누비지오의 ‘미피 알러지 케어 침구세트’가 만나 한정 수량 50% 할인 이벤트를 진행하며 누비지오 홈페이지에서 구매 가능하다. 가을 환절기에 .."
‘미켈레 끼아를로’ 와인 판매,롯데백화점,"미켈레,끼아,와인,판매,롯데백화점,한국,대표,작가,박선기,와이너리,이탈리아,대표,아트콜라보,미켈레,끼아,와인,단독,판매",롯데백화점이 한국 대표 작가 ‘박선기’와 이탈리아 대표 와이너리가 아트콜라보한 ‘미켈레 끼아를로’ 와인을 단독으로 판매한다.<롯데백화점 제공>
"컴포즈커피, 스테이씨(STAYC)와 콜라보 음료 '틴프레시 에이드' 출시",컴포즈커피,"컴포즈커피,스테이씨,STAYC,콜라보,음료,틴프레시,에이드,출시,컴포즈커피,그룹,스테,STAYC,TEENFRESH,여름,시즌,음료,스테이,틴프레시,에이드,컴포즈커피,스테이씨,TEENFRESH,번째,미니,앨범,틴프레시,발매,기념,팬들,콜라보,음료,프로모션,준비,컴백,앨범,콘셉트,신메뉴,기획,의미,에이드,콜라보,음료,스테이,틴프레시,이름,스테이씨,틴프레시,매력,극대화,에이드,오렌지맛,탄산,화이트펄,비주얼,여름철,활력,선사,컴포즈커피,스테이씨,협업,기념,고객,구매,대상,특별,이벤트,진행,에이드,스테이,틴프레시,구매,1장,스테이,포토,카드,랜덤,증정,포토카드,스테이씨,단체,이미지,개인,이미지,포함,14종,구성,컴포즈,커피,관계자,컴포즈커피,사랑,고객,팬들,경험,선사,스테이씨,콜라보,음료,스테이씨,틴프레시,매력,신메뉴,환상적,조합,여름철,더위","컴포즈커피가 그룹 스테이씨(STAYC)와 손잡고 9월 15일까지 여름 시즌 음료 ‘스테이씨 TEENFRESH(틴프레시) 에이드’를 새롭게 선보인다. 
 
 컴포즈커피는 스테이씨의 세 번째 미니앨범 ‘TEENFRESH(틴프레시)’ 발매를 기념해 팬들을 설레게 할 콜라보 음료와 프로모션을 준비했다. 특히 이번 컴백 앨범을 콘셉트로 한 신메뉴를 기획해 그 의.."
"우리카드, ‘망그러진곰’ 한정판 디자인 출시","우리카드,우리금융지주,우리원카드","우리카드,한정판,디자,출시,우리금융지주,자회사,우리카드,사장,박완식,인기,캐릭터,콜라보,한정판,디자인,출시,4일,콜라보,지난달,출시,에브리1,카드,의정석,에브리,디자,2종,추가,내년,1년,발급,가능,한정판,디자인,카드,플레이트,상품안내장,배송,세트,에디션,디자인,우리카드,고객,선호도,조사,투표,결정,3만,참여,행운망곰,대왕망곰,최종,선정,콜라보,디자,출시,기념,이벤트,진행,카드,발급,선착순,고객,카드,수령,2매,한정판,스티커,내달,인스타그램,우리카드,공식,팔로우,캐릭터,인스타그램,게시,고객,10명,추첨,쿠션,스페셜,굿즈,증정,우리카드,관계자,MZ세대,인기,캐릭터,콜라보,카드,출시,고객,확대,혜택,디자인,충족,카드,출시,예정,관심,부탁,상품,이벤트,우리카드,홈페이지,원카드,확인,가능","우리금융지주 자회사인 우리카드(사장 박완식)는 인기 캐릭터 ‘망그러진곰’과 콜라보한 한정판 디자인을 출시했다고 4일 밝혔다. 
 
 
 
 이번 콜라보로 지난달 출시한 신상품 ‘카드의정석 에브리1’에 망그러진곰 디자인 2종이 추가됐다. 
 
 
 
 내년 8월 말까지 1년간 발급 가능한 한정판 디자인으로 카드 플레이트뿐만 아니라 상품안내장, 배송 세트까.."
삼성전자 '더 프레임 디즈니 100주년 에디션' 출시 기념 '디즈니 콜라보 전시' 오픈,"디즈니,한경닷컴,삼성닷컴,삼성전자,삼성","삼성전자,프레임,디즈니,주년,에디션,전시,출시,기념,디즈니,콜라보,오픈,삼성전자,라이프,스타일,TV,프레임,디즈니,주년,에디션,공식,출시,2층,삼성,강남,전시,디즈니,콜라보,운영,1일,17일,운영,전시,디즈니,콜라보,프레임,디즈니,주년,에디션,디즈니,콜라보,모바일,액세서리,디즈니,주년,기념,에디션,삼성,디즈니100,삼성,디즈니,온스크린,로고,적용,디즈니,로고,세련,플래,티넘,실버,메탈,베젤,탑재,디즈니,인기,캐릭터,미키,마우스,리모트,디즈니,주년,에디션,솔라셀,제공,스토어,프레임,예술,작품,구독,서비스,아트,월트,디즈니,픽사,애니메이션,마블,내셔널지오그래픽,100점,아트,컬렉션,스페셜,에디션,감상,전시,삼성,강남,디즈니,콜라보,디즈니,협업,갤럭시,카드,플립,수트,케이스,갤럭시,갤럭시,워치,시리즈,스트랩,콜라보,액세서리,제품,디즈니,자체,전시,공간,마련,삼성닷컴,갤럭시,캠퍼스,디즈니,콜라보,모바일,액세서리,구매,삼성,강남,제품,픽업,고객,대상,커피,쿠폰,증정,이벤트,진행,프레임,디즈니,주년,에디션,1일,삼성닷컴,판매,시작,1일,7시,삼성닷컴,라이브,커머스로,삼성전자,프레임,디즈니,주년,에디션,공식,출시,구매,혜택,준비,삼성닷컴,프레임,디즈니,주년,에디션,구매,고객,디즈니,주년,피크닉,스테인리스,요기,3만,모바일,상품권,원권,제공,세리프,기준가,할인,최대,추가,가격,구매,할인,쿠폰,증정,사전,신청,구매,고객,대상,디즈니,캐릭터,활용,디퓨저,추가,제공,삼성전자,관계자,프레임,디즈니,주년,에디션,출시,오픈,전시,삼성,강남,디즈니,콜라보,프레임,디즈니,주년,에디션,디자인,콘텐츠,콘텐츠,경험,기회,브랜드,협업,강화,예정,삼성닷컴,확인,한경닷컴","삼성전자가 라이프스타일 TV ‘더 프레임 디즈니 100주년 에디션’ 공식 출시를 맞아 삼성 강남 2층에서 ‘디즈니 콜라보 전시’를 운영한다고 1일 밝혔다. 
 
17일까지 운영하는 ‘디즈니 콜라보 전시’에서는 ‘더 프레임 디즈니 100주년 에디션’과 다양한 디즈니 콜라보 모바일 액세서리를 함께 만나볼 수 있다. 
 
디즈니 100주년을 기념해 선보인 이.."
"""망그러진곰 덕후 모이세요"" 우리카드, '망그러진곰' 콜라보 한정판 디자인 출시","우리카드,대왕","덕후,우리카드,디자,콜라보,한정판,출시,4월,3만,참여,선호도,조사,행운망곰,대왕,망곰,디자,선정,출시,기념,이벤트,진행,2매,한정판,스티커,스페셜,굿즈,증정,우리카드,제공,우리카드,인기,캐릭터,콜라보,한정판,디자인,출시,4일,콜라보,지난달,출시,에브리원,카드,의정석,디자,2종,추가,내년,1년,발급,가능,한정판,디자인,카드,플레이트,상품안내장,배송,세트,에디션,카드,혜택,카드의정석,동일,디자인,우리카드,고객,선호도,조사,투표,결정,4월,인스타그램,계정,컨셉,디자,선호도,조사,진행,대왕망곰,결과,행운망곰,대왕망,2만,2만,투표,최종,선정,우리카드,콜라보,디자,출시,기념,이벤트,진행,카드,발급,선착순,고객,카드,수령,2매,한정판,스티커,10월,인스타그램,우리카드,공식,팔로우,캐릭터,인스타그램,게시,고객,10명,추첨,쿠션,스페셜,굿즈,증정,우리카드,관계자,MZ세대,인기,캐릭터,콜라보,카드,출시,고객,확대,혜택,디자인,충족,카드,출시,예정,관심,부탁","지난 4월부터 3만명 참여한 선호도 조사 통해 행운망곰, 대왕망곰 디자인 2종 선정 출시 기념 이벤트 진행...망그러진곰 한정판 스티커 2매, 스페셜 굿즈 등 증정 
 
 우리카드 제공 
[파이낸셜뉴스] 우리카드가 인기 캐릭터 ‘망그러진곰’과 콜라보한 한정판 디자인을 출시했다고 4일 밝혔다. 
 
이번 콜라보로 지난달 출시한 신상품 ‘카드의정석 에브리원.."
"""KCC와 마시마로 콜라보 팝업스토어 김포 상륙""","KCC페인트,수성,롯데백화점,SNS이벤트,현대백화점,KCC","KCC,마시마,콜라보,팝업,스토어,김포,상륙,KCC,마시마,콜라보,번째,롯데백화점,김포공항점,방문,고객들,매장,KCC,제공,KCC,KCC,페인트,캐릭터,마시마로,팝업스토어,번째,콜라보,팝업,스토어,롯데백화점,김포공항점,31일,KCC,콜라보,판교점,현대백화점,천호점,운영,관심,보답,기획,GF층,롯데백화점,김포공항점,GF,마련,팝업스토어,마시마로,컨셉,크기,인형,한정판,에코백,캐릭터,상품,굿즈,입구,위치,마시마,짜리,페인트통,조형물,녹색,페인트,구성,KCC,페인트,동시,친환경성,표현,팝업스토어,KCC,페인트,마시마로,협업,완성,아트워크,인쇄,한정판,에코백,구매,수성,페인트,셀프,페인트통,꽃씨,굿즈,패키지,무료,제공,페인트통,동봉,꽃씨,구성,체험,패키,KCC,마시마,콜라보,팝업,스토어,기념,SNS이벤트,진행,인스타그램,팔로우,마시마,인증샷,팝업,스토어,방문,인증,해시태그,스토리,피드,업로드,20명,추첨,1만,현대백화점,상품권,원권,증정,책임,성지현,KCC,브랜드,커뮤니케이션,KCC페인트,마시마로,협업,KCC,페인트,이미지,오프라인,소비자,소통,마케팅,집중,예정","KCC와 마시마로 콜라보 세 번째 팝업스토어(롯데백화점 김포공항점)를 방문한 고객들이 매장을 둘러보고 있다. KCC 제공 
[파이낸셜뉴스] KCC가 KCC 페인트와 캐릭터 마시마로의 세 번째 콜라보 팝업스토어를 롯데백화점 김포공항점에서 오는 31일까지 선보인다. 
 
22일 KCC에 따르면 이번 콜라보는 지난 7월 현대백화점 판교점과 천호점을 운영하며 .."
"이스트시큐리티, 패션 브랜드 '발란사'와 이색 콜라보 상품 출시","발란사,이스트시큐리티,알약X발란사","이스트시큐리티,발란사,패션,브랜드,이색,콜라보,상품,출시,이스트시큐리티,발란사,스트리트,패션,브랜드,편집숍,Balansa,콜라보레이션,상품,출시,발란사,부산지역,연고,빈티지,아이템,음악,상품,음악,판매,서브컬쳐,편집숍,출시,컬렉션,알약,발란사,콜라보레이션,가지,제품,구성,로고,티셔츠,나일론,양말,키링,짐색,휴대폰,케이스,제품,브랜드,시그니처,로고,알약,캐릭터,발란사,특유,스트리트,감성,재해석,알약,손승완,이스트,시큐리티,실장,대표적,보안,서비스,알약,캐릭터,활용,알약,3.0,트렌디,이미지,전달,이색,콜라보,관심,MZ,세대,고객,확대,발란사,경계,콜라보,상품,출시,설명","이스트시큐리티가 스트리트 패션 브랜드 편집숍 '발란사(Balansa)'와 콜라보레이션 상품을 출시한다.

발란사는 부산지역을 연고로 다양한 빈티지 아이템과 음악 관련 상품을 판매하는 서브컬쳐 편집숍이다.

출시하는 알약X발란사 콜라보레이션 컬렉션은 총 10가지 제품으로 구성됐다. 로고 티셔츠, 나일론 캡, 양말, 키링, 짐색, 휴대폰 케이스와 같은 다양.."
"우리카드, ‘망그러진곰’ 그려진 카드의정석 출시","우리카드,우리금융지주","우리카드,카드,의정석,출시,우리금융지주,자회사,우리카드,인기,캐릭터,콜라보,한정판,디자인,출시,4일,콜라보,지난달,출시,카드,의정석,디자,2종,추가,내년,1년,발급,가능,한정판,디자인,카드,플레이트,상품안내장,배송,세트,에디션,카드,혜택,카드의정석,동일,디자인,우리카드,고객,선호도,조사,투표,엄선,콜라보,디자,출시,기념,이벤트,진행,카드,발급,선착순,고객,카드,수령,2매,한정판,스티커,내달,인스타그램,우리카드,공식,팔로우,캐릭터,인스타그램,게시,고객,10명,추첨,쿠션,스페셜,굿즈,증정,우리카드,관계자,MZ세대,인기,캐릭터,콜라보,카드,출시,고객,확대,혜택,디자인,충족,카드,출시,예정,관심,부탁,연회비,1만,상품,이벤트,우리카드,홈페이지,WON카드,확인,가능","[헤럴드경제=홍승희 기자] 우리금융지주 자회사인 우리카드가 인기 캐릭터 ‘망그러진곰’과 콜라보한 한정판 디자인을 출시했다고 4일 밝혔다. 
 
 이번 콜라보로 지난달 출시한 신상품 ‘카드의정석 EVERY 1’에 ‘망그러진곰’ 디자인 2종이 추가됐다. 내년 8월 말까지 1년간 발급 가능한 한정판 디자인이며 카드 플레이트뿐만 아니라 상품안내장, 배송 세트까.."
"컴포즈커피, 스테이씨(STAYC)와 콜라보 음료 출시",컴포즈커피,"컴포즈커피,스테이씨,STAYC,출시,콜라보,음료,컴포즈커피,그룹,스테,STAYC,TEENFRESH,여름,시즌,음료,스테이,틴프레시,에이드,컴포즈커피,스테이씨,TEENFRESH,번째,미니,앨범,틴프레시,발매,기념,팬들,콜라보,음료,프로모션,준비,컴백,앨범,콘셉트,신메뉴,기획,의미,에이드,콜라보,음료,스테이,틴프레시,이름,스테이씨,틴프레시,매력,극대화,에이드,오렌지맛,탄산,화이트펄,비주얼,여름철,활력,선사,컴포즈커피,스테이씨,협업,기념,고객,구매,대상,특별,이벤트,진행,에이드,스테이,틴프레시,구매,1장,스테이,포토,카드,랜덤,증정,포토카드,스테이씨,단체,이미지,개인,이미지,포함,14종,구성,컴포즈,커피,관계자,컴포즈커피,사랑,고객,팬들,경험,선사,스테이씨,콜라보,음료,스테이씨,틴프레시,매력,신메뉴,환상적,조합,여름철,더위","컴포즈커피가 그룹 스테이씨(STAYC)와 손잡고 9월 15일까지 여름 시즌 음료 ‘스테이씨 TEENFRESH(틴프레시) 에이드’를 새롭게 선보인다. 
 
 컴포즈커피는 스테이씨의 세 번째 미니앨범 ‘TEENFRESH(틴프레시)’ 발매를 기념해 팬들을 설레게 할 콜라보 음료와 프로모션을 준비했다. 특히 이번 컴백 앨범을 콘셉트로 한 신메뉴를 기획해 그 의.."
"CU, 명탐정 코난 콜라보 상품 2탄 출시","매니아,BGF리테일,CU,CGV,사무소","CU,명탐정,코난,콜라보,상품,출시,CU,코난,애니메이션,명탐정,인기,콜라보,상품,29일,개봉,명탐정,코난,26번,흑철,극장판,영화,어영,누적,관객,78만,동원,개봉,극장판,시리즈,기록,최고,흥행,경신,CU,명탐정,코난,흑철,어영,개봉,샌드위치,주먹볼,젤리,4종,콜라보,상품,출시,상품,매니아,입소문,출시,100만,누적,판매량,달성,2탄,명탐정,코난,콜라보,상품,6종,1탄,애니메이션,세계관,애니메이션,반영,상품,명탐정,코난,등장,캐릭터들,80종,띠부씰,팬들,수집,욕구,CU,젤리,알약,모양,코난,추리,사용,모양,음성,변조,나비넥타이,명탐정,코난,리본,젤리,딸기,1900원,포와,나폴리탄,파스타,4,900원,코난,신세,유명,탐정,사무소,건물,카페,포와로,인기,메뉴,상품,카레밥,토핑,감자,감자,카레,삼각김밥,1200원,출시,이외,명탐정,코난,스핀오프,제로,일상,유명,카레,맛집,메뉴,콘셉트,기획,카레,유부,초밥,3,800원,상품명,카레밥,감자,토핑,명탐정,코난,에피소드,의혹,카레,참고,의혹,카레버거,3700원,카레,감자,치킨,토핑,의혹,도시락,카레,4600원,CU,출시,기념,21일,CU,자체,커머스,포켓,코난,리본,젤리,범인,퍼즐,이벤트,진행,콜라보,상품,구매,포인트,적립,퍼즐,퍼즐,힌트,퍼즐,범인,추리,이벤트,응모,정답,고객들,추첨,코난,쿠션,10명,흑철,명탐정,코난,CGV,영화,관람,30명,명탐정,코난,리본,젤리,20명,증정,김광민,BGF,리테일,상품,MD,상품들,캐릭터,콜라보,상품,매출,12배,직전년도,대비,3배,매출,신장,열풍,캐릭터,콜라보,인기,캐릭터,CU,차별,상품,지속적,예정","CU가 애니메이션 ‘명탐정 코난’의 인기에 힘입어 오는 31일 콜라보 상품 2탄을 선보인다고 29일 밝혔다. 
 
지난 7월 개봉한 명탐정 코난의 26번째 극장판 영화 ‘흑철의 어영’은 누적 관객 수 78만명을 동원하며 국내 개봉한 극장판 시리즈 중 최고 흥행 기록을 경신했다. 당시 CU는 ‘명탐정 코난: 흑철의 어영’ 개봉에 맞춰 샌드위치, 주먹볼, .."
"락토핏, 올리브영서 ‘망그러진곰’과의 한정판 콜라보 선봬","올리브영,카카오,성원,피크닉세트,에디션,칸타월드패널,MZ,맘키즈","락토핏,올리브영서,선봬,한정판,콜라보,종근당건강,락토핏,MZ,세대,사이,인기,캐릭터,콜라보,제품,올리브영,단독,출시,출시,락토핏,한정판,에디션,가을철,나들,시즌,캐릭터,스페셜,패키지,미니,에코백,구성,제품,박스,내부,스틱,일러스트,전면,삽입,구매,순간,섭취,기분,경험,선사,소장가치,굿즈,한정판,의미,제공,미니,에코백,남녀노소,실용성,제품,가을,나들이,나위,굿즈,락토핏,골드,에디션,올리브영,재고,소진,판매,조기종료,예정,락토핏,카카오선물,콜라보,기획,세트,출시,나들,시즌,출시,피크닉세트,출시,당일,대비,일일,판매액,2,000%,상승,세간,이목,집중,업계,인지도,선호도,고객,만족도,측면,1등,차지,칸타월드패널,그랜드슬램,달성,락토핏,컬래버,바람,락토핏,진행,피크닉매트,콜라보,맘키즈,고객,MZ세대,반향,성원,보답,콜라보,기획,맘키즈,MZ세대,즐거움,대한민국,대표,유산균,브랜드,콜라보레이션,유산균,소비문화,락토핏,미래","종근당건강의 ‘락토핏’이 MZ세대 사이에서 인기 있는 ‘망그러진곰’ 캐릭터와의 콜라보 제품을 올리브영에 단독으로 출시한다. 
 
 이번에 출시되는 락토핏 X 망그러진곰 한정판 에디션은 가을철 나들이 시즌을 맞아 캐릭터가 들어간 스페셜 패키지와 미니 에코백으로 구성됐다. 
 
 특히 제품 박스부터 내부 스틱 포까지 망그러진곰 일러스트를 전면 삽입하여 구매.."
